"";"Sexo";"Raça";"N_Instrução";"Idade_Cat";"Total";"Desocupados";"Taxa";"ajust";"Tx_ajus"
"1";"1";"1";"1";"2";7;1;0,142857142857143;1,69574948110495;0,242249925872135
"2";"1";"1";"1";"3";6;1;0,166666666666667;0,774419079716198;0,129069846619366
"3";"1";"1";"2";"1";24;3;0,125;6,6081958820008;0,275341495083367
"4";"1";"1";"2";"2";76;13;0,171052631578947;13,2648045282268;0,174536901687194
"5";"1";"1";"2";"3";78;5;0,0641025641025641;7,25342301686371;0,0929926027803039
"6";"1";"1";"3";"1";39;13;0,333333333333333;10,5080032382224;0,269435980467241
"7";"1";"1";"3";"2";65;14;0,215384615384615;11,1015736268583;0,170793440413205
"8";"1";"1";"3";"3";47;4;0,0851063829787234;4,27691073457746;0,0909981007356907
"9";"1";"1";"4";"1";37;6;0,162162162162162;11,1976870962182;0,302640191789681
"10";"1";"1";"4";"2";106;26;0,245283018867925;20,3351820502375;0,19184134009658
"11";"1";"1";"4";"3";37;3;0,0810810810810811;3,78185666450846;0,102212342284012
"12";"1";"1";"5";"2";287;41;0,142857142857143;41,2489815117035;0,143724674256807
"13";"1";"1";"5";"3";182;8;0,043956043956044;13,9368254924441;0,0765759642441986
"14";"1";"1";"6";"2";94;19;0,202127659574468;15,7828471059267;0,167902628786454
"15";"1";"1";"6";"3";58;11;0,189655172413793;5,18855745797784;0,0894578872065145
"16";"1";"1";"7";"2";36;3;0,0833333333333333;4,28168164993771;0,118935601387159
"17";"1";"1";"7";"3";98;6;0,0612244897959184;6,21010709410525;0,0633684397357678
"18";"1";"2";"1";"1";6;3;0,5;2,99950653425543;0,499917755709239
"19";"1";"2";"1";"2";16;5;0,3125;5,07030565246188;0,316894103278867
"20";"1";"2";"1";"3";9;1;0,111111111111111;1,51955984472566;0,168839982747296
"21";"1";"2";"2";"1";90;33;0,366666666666667;32,4163924010299;0,360182137789222
"22";"1";"2";"2";"2";205;49;0,239024390243902;46,8049330614777;0,228316746641355
"23";"1";"2";"2";"3";221;28;0,126696832579186;26,8838325846433;0,121646301287979
"24";"1";"2";"3";"1";68;24;0,352941176470588;23,9670735573645;0,35245696407889
"25";"1";"2";"3";"2";153;35;0,228758169934641;34,1832320256563;0,223419817161152
"26";"1";"2";"3";"3";111;9;0,0810810810810811;13,2131331665342;0,119037235734542
"27";"1";"2";"4";"1";72;26;0,361111111111111;28,5042491264366;0,395892348978286
"28";"1";"2";"4";"2";224;52;0,232142857142857;56,2135124950811;0,250953180781612
"29";"1";"2";"4";"3";84;11;0,130952380952381;11,2313802721846;0,133706908002198
"30";"1";"2";"5";"2";465;91;0,195698924731183;87,424828906406;0,188010384744959
"31";"1";"2";"5";"3";295;35;0,11864406779661;29,5505109988477;0,100171223724908
"32";"1";"2";"6";"2";97;18;0,185567010309278;21,3049115338288;0,219638263235349
"33";"1";"2";"6";"3";53;9;0,169811320754717;6,20218921764358;0,117022438068747
"34";"1";"2";"7";"2";14;2;0,142857142857143;2,17816318660811;0,155583084757722
"35";"1";"2";"7";"3";71;5;0,0704225352112676;5,88547972425836;0,0828940806233572
"36";"2";"1";"2";"1";9;3;0,333333333333333;3,67713925637054;0,408571028485616
"37";"2";"1";"2";"2";19;6;0,315789473684211;4,92081190588194;0,258990100309576
"38";"2";"1";"2";"3";36;6;0,166666666666667;4,96760214267007;0,137988948407502
"39";"2";"1";"3";"1";15;5;0,333333333333333;5,99712017347042;0,399808011564695
"40";"2";"1";"3";"2";25;11;0,44;6,33588224570834;0,253435289828334
"41";"2";"1";"3";"3";21;1;0,0476190476190476;2,83561669310977;0,13502936633856
"42";"2";"1";"4";"1";39;18;0,461538461538462;17,5140712479355;0,449078749947064
"43";"2";"1";"4";"2";47;15;0,319148936170213;13,3793790850979;0,284667640108466
"44";"2";"1";"4";"3";22;4;0,181818181818182;3,33673658437021;0,151669844744101
"45";"2";"1";"5";"1";3;1;0,333333333333333;1,0093293294235;0,336443109807833
"46";"2";"1";"5";"2";266;55;0,206766917293233;56,7294889494021;0,21326875544888
"47";"2";"1";"5";"3";146;17;0,116438356164384;16,5898030989566;0,113628788349018
"48";"2";"1";"6";"2";110;27;0,245454545454545;27,4060270787534;0,24914570071594
"49";"2";"1";"6";"3";45;6;0,133333333333333;5,97347502488582;0,132743889441907
"50";"2";"1";"7";"2";49;4;0,0816326530612245;8,64776450571712;0,176484989912594
"51";"2";"1";"7";"3";162;16;0,0987654320987654;15,2329469677001;0,0940305368376547
"52";"2";"2";"1";"2";2;2;1;0,94045940775089;0,470229703875445
"53";"2";"2";"2";"1";19;12;0,631578947368421;10,1548070052011;0,534463526589531
"54";"2";"2";"2";"2";63;23;0,365079365079365;21,3439216706249;0,338792407470236
"55";"2";"2";"2";"3";87;13;0,149425287356322;15,7041365450121;0,180507316609334
"56";"2";"2";"3";"1";49;26;0,530612244897959;25,6270182199905;0,52300037183654
"57";"2";"2";"3";"2";74;24;0,324324324324324;24,5329239953215;0,331525999936777
"58";"2";"2";"3";"3";59;7;0,11864406779661;10,4215123231892;0,176635802087953
"59";"2";"2";"4";"1";75;50;0,666666666666667;44,0589632547041;0,587452843396055
"60";"2";"2";"4";"2";133;52;0,390977443609023;49,5267975717592;0,372381936629768
"61";"2";"2";"4";"3";50;6;0,12;9,9201845514693;0,198403691029386
"62";"2";"2";"5";"1";4;3;0,75;1,76044367738104;0,44011091934526
"63";"2";"2";"5";"2";457;125;0,273522975929978;127,495230897728;0,278982999776211
"64";"2";"2";"5";"3";291;43;0,147766323024055;43,2545571377134;0,148641089820321
"65";"2";"2";"6";"2";114;24;0,210526315789474;37,1542717993041;0,325914664906176
"66";"2";"2";"6";"3";46;13;0,282608695652174;7,98772078180817;0,173646103952352
"67";"2";"2";"7";"2";42;12;0,285714285714286;9,69633407154123;0,230865096941458
"68";"2";"2";"7";"3";129;20;0,155038759689922;15,8675228001381;0,123004052714249
